Locus	Namespace	GO-ID	GO-term	pubMedId	EvidenceCode
NCU04336.7	cellular_component	GO:0005762	mitochondrial large ribosomal subunit	16451194	ISS: Inferred from Sequence or Structural Similarity
NCU04336.7	molecular_function	GO:0003735	structural constituent of ribosome	16451194	IPI: Inferred from Physical Interaction
NCU04342.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU04343.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU04343.7	biological_process	GO:0033194	response to hydroperoxide	22209968	IMP: Inferred from Mutant Phenotype
NCU04368.7	biological_process	GO:0007047	cellular cell wall organization	None	ISS: Inferred from Sequence or Structural Similarity
NCU04368.7	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
NCU04368.7	molecular_function	GO:0004364	glutathione transferase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU04370.7	biological_process	GO:0006512	ubiquitin cycle	None	ISS: Inferred from Sequence or Structural Similarity
NCU04370.7	cellular_component	GO:0005634	nucleus	None	ISS: Inferred from Sequence or Structural Similarity
NCU04370.7	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
NCU04370.7	molecular_function	GO:0004839	ubiquitin activating enzyme activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU04371.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU04371.7	biological_process	GO:0010043	response to zinc ion	18948221	IMP: Inferred from Mutant Phenotype
NCU04371.7	biological_process	GO:0051592	response to calcium ion	18948221	IMP: Inferred from Mutant Phenotype
NCU04371.7	cellular_component	GO:0005829	cytosol	18948221	IMP: Inferred from Mutant Phenotype
NCU04379.7	biological_process	GO:0006874	cellular calcium ion homeostasis	None	ISS: Inferred from Sequence or Structural Similarity
NCU04379.7	biological_process	GO:0009411	response to UV	21728141	IMP: Inferred from Mutant Phenotype
NCU04379.7	biological_process	GO:0019933	cAMP-mediated signaling	None	ISS: Inferred from Sequence or Structural Similarity
NCU04379.7	biological_process	GO:0040009	regulation of growth rate	21728141	IMP: Inferred from Mutant Phenotype
NCU04379.7	biological_process	GO:0051592	response to calcium ion	21728141	IMP: Inferred from Mutant Phenotype
NCU04379.7	cellular_component	GO:0005634	nucleus	None	ISS: Inferred from Sequence or Structural Similarity
NCU04379.7	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
NCU04379.7	cellular_component	GO:0005886	plasma membrane	None	ISS: Inferred from Sequence or Structural Similarity
NCU04379.7	molecular_function	GO:0005509	calcium ion binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU04380.7	cellular_component	GO:0005741	mitochondrial outer membrane	16294304	IDA: Inferred from Direct Assay
NCU04385.7	biological_process	GO:0009098	leucine biosynthetic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU04385.7	cellular_component	GO:0005625	soluble fraction	None	ISS: Inferred from Sequence or Structural Similarity
NCU04385.7	molecular_function	GO:0003861	3-isopropylmalate dehydratase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU04387.7	biological_process	GO:0007035	vacuolar acidification	None	ISS: Inferred from Sequence or Structural Similarity
NCU04387.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU04387.7	cellular_component	GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	10340846	IC: Inferred by Curator
NCU04387.7	molecular_function	GO:0046961	proton-transporting ATPase activity, rotational mechanism	None	ISS: Inferred from Sequence or Structural Similarity
NCU04389.7	molecular_function	GO:0042054	histone methyltransferase activity	16087750	ISS: Inferred from Sequence or Structural Similarity
NCU04390.7	biological_process	GO:0030448	hyphal growth	16801547	IMP: Inferred from Mutant Phenotype
NCU04390.7	biological_process	GO:0070873	regulation of glycogen metabolic process	21768394	IMP: Inferred from Mutant Phenotype
NCU04395.7	cellular_component	GO:0009277	fungal-type cell wall	16861813	TAS: Traceable Author Statement
NCU04395.7	molecular_function	GO:0046557	glucan endo-1,6-beta-glucosidase activity	12162562	IDA: Inferred from Direct Assay
NCU04402.7	biological_process	GO:0006306	DNA methylation	11713521	IMP: Inferred from Mutant Phenotype
NCU04402.7	biological_process	GO:0006348	chromatin silencing at telomere	19014414	IMP: Inferred from Mutant Phenotype
NCU04402.7	biological_process	GO:0016441	posttranscriptional gene silencing	15831483	IMP: Inferred from Mutant Phenotype
NCU04402.7	biological_process	GO:0040009	regulation of growth rate	11713521	IMP: Inferred from Mutant Phenotype
NCU04402.7	biological_process	GO:0051567	histone H3-K9 methylation	12679815	IDA: Inferred from Direct Assay
NCU04402.7	molecular_function	GO:0042054	histone methyltransferase activity	12679815	IDA: Inferred from Direct Assay
NCU04402.7	molecular_function	GO:0046974	histone methyltransferase activity (H3-K9 specific)	12372305	IDA: Inferred from Direct Assay
NCU04404.7	biological_process	GO:0006888	ER to Golgi vesicle-mediated transport	None	ISS: Inferred from Sequence or Structural Similarity
NCU04404.7	cellular_component	GO:0030126	COPI vesicle coat	None	ISS: Inferred from Sequence or Structural Similarity
NCU04405.7	biological_process	GO:0000398	nuclear mRNA splicing, via spliceosome	None	ISS: Inferred from Sequence or Structural Similarity
NCU04405.7	molecular_function	GO:0005515	protein binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU04414.7	biological_process	GO:0006511	ubiquitin-dependent protein catabolic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU04414.7	cellular_component	GO:0008540	proteasome regulatory particle, base subcomplex	None	ISS: Inferred from Sequence or Structural Similarity
NCU04414.7	molecular_function	GO:0004175	endopeptidase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU04414.7	molecular_function	GO:0016887	ATPase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU04415.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU04417.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU04426.7	biological_process	GO:0000909	sporocarp development involved in sexual reproduction	21965514	IMP: Inferred from Mutant Phenotype
NCU04426.7	biological_process	GO:0006979	response to oxidative stress	21965514	IMP: Inferred from Mutant Phenotype
NCU04426.7	biological_process	GO:0030437	ascospore formation	21965514	IMP: Inferred from Mutant Phenotype
NCU04426.7	biological_process	GO:0030448	hyphal growth	21965514	IMP: Inferred from Mutant Phenotype
NCU04433.7	biological_process	GO:0010438	cellular response to sulfur starvation	2898097	IEP: Inferred from Expression Pattern
NCU04436.7	biological_process	GO:0043331	response to dsRNA	17371837	IEP: Inferred from Expression Pattern
NCU04442.7	biological_process	GO:0019388	galactose catabolic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU04442.7	cellular_component	GO:0005625	soluble fraction	None	ISS: Inferred from Sequence or Structural Similarity
NCU04442.7	molecular_function	GO:0003978	UDP-glucose 4-epimerase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU04442.7	molecular_function	GO:0004034	aldose 1-epimerase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU04448.7	biological_process	GO:0006457	protein folding	None	ISS: Inferred from Sequence or Structural Similarity
NCU04448.7	biological_process	GO:0007010	cytoskeleton organization	None	ISS: Inferred from Sequence or Structural Similarity
NCU04448.7	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
NCU04448.7	cellular_component	GO:0005832	chaperonin-containing T-complex	None	ISS: Inferred from Sequence or Structural Similarity
NCU04448.7	cellular_component	GO:0005856	cytoskeleton	None	ISS: Inferred from Sequence or Structural Similarity
NCU04448.7	molecular_function	GO:0051082	unfolded protein binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU04452.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU04460.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU04460.7	biological_process	GO:0016036	cellular response to phosphate starvation	17898858	IEP: Inferred from Expression Pattern
NCU04460.7	biological_process	GO:0033499	galactose catabolic process via UDP-galactose	None	ISS: Inferred from Sequence or Structural Similarity
NCU04460.7	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
NCU04460.7	molecular_function	GO:0008108	UDP-glucose:hexose-1-phosphate uridylyltransferase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU04472.7	biological_process	GO:0043331	response to dsRNA	17371837	IEP: Inferred from Expression Pattern
NCU04474.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU04486.7	biological_process	GO:0043331	response to dsRNA	17371837	IEP: Inferred from Expression Pattern
NCU04487.7	biological_process	GO:0043331	response to dsRNA	17371837	IEP: Inferred from Expression Pattern
NCU04488.7	biological_process	GO:0043331	response to dsRNA	17371837	IEP: Inferred from Expression Pattern
NCU04490.7	biological_process	GO:0043331	response to dsRNA	17371837	IEP: Inferred from Expression Pattern
NCU04491.7	biological_process	GO:0043331	response to dsRNA	17371837	IEP: Inferred from Expression Pattern
NCU04507.7	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
NCU04507.7	molecular_function	GO:0016887	ATPase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU04510.7	biological_process	GO:0006970	response to osmotic stress	16990038	IEP: Inferred from Expression Pattern
NCU04510.7	biological_process	GO:0009408	response to heat	16990038	IEP: Inferred from Expression Pattern
NCU04510.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU04510.7	biological_process	GO:0042538	hyperosmotic salinity response	16990038	IEP: Inferred from Expression Pattern
NCU04510.7	biological_process	GO:0071470	cellular response to osmotic stress	22240319	IEP: Inferred from Expression Pattern
NCU04513.7	biological_process	GO:0030448	hyphal growth	21354536	IMP: Inferred from Mutant Phenotype
NCU04528.7	molecular_function	GO:0005507	copper ion binding	21545148	TAS: Traceable Author Statement
NCU04528.7	molecular_function	GO:0008471	laccase activity	21545148	IDA: Inferred from Direct Assay
NCU04533.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU04540.7	biological_process	GO:0016567	protein ubiquitination	12941694	IMP: Inferred from Mutant Phenotype
NCU04540.7	biological_process	GO:0042752	regulation of circadian rhythm	12941694	IMP: Inferred from Mutant Phenotype
NCU04540.7	cellular_component	GO:0019005	SCF ubiquitin ligase complex	15961524	IPI: Inferred from Physical Interaction
NCU04541.7	molecular_function	GO:0016563	transcription activator activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU04552.7	biological_process	GO:0006412	translation	None	ISS: Inferred from Sequence or Structural Similarity
NCU04552.7	cellular_component	GO:0022627	cytosolic small ribosomal subunit	None	ISS: Inferred from Sequence or Structural Similarity
NCU04552.7	molecular_function	GO:0003735	structural constituent of ribosome	None	ISS: Inferred from Sequence or Structural Similarity
NCU04553.7	biological_process	GO:0000028	ribosomal small subunit assembly	None	ISS: Inferred from Sequence or Structural Similarity
NCU04553.7	biological_process	GO:0006412	translation	None	ISS: Inferred from Sequence or Structural Similarity
NCU04553.7	biological_process	GO:0016567	protein ubiquitination	None	ISS: Inferred from Sequence or Structural Similarity
NCU04553.7	biological_process	GO:0042254	ribosome biogenesis	None	ISS: Inferred from Sequence or Structural Similarity
NCU04553.7	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
NCU04553.7	cellular_component	GO:0022627	cytosolic small ribosomal subunit	None	ISS: Inferred from Sequence or Structural Similarity
NCU04553.7	molecular_function	GO:0003735	structural constituent of ribosome	None	ISS: Inferred from Sequence or Structural Similarity
NCU04554.7	biological_process	GO:0031667	response to nutrient levels	22796096	IEP: Inferred from Expression Pattern
NCU04561.7	biological_process	GO:0048021	regulation of melanin biosynthetic process	16801547	IMP: Inferred from Mutant Phenotype
NCU04566.7	biological_process	GO:0006979	response to oxidative stress	21965514	IMP: Inferred from Mutant Phenotype
NCU04566.7	biological_process	GO:0009651	response to salt stress	21965514	IMP: Inferred from Mutant Phenotype
NCU04578.7	cellular_component	GO:0005739	mitochondrion	21145408	IDA: Inferred from Direct Assay
NCU04579.7	biological_process	GO:0009082	branched chain family amino acid biosynthetic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU04579.7	cellular_component	GO:0005739	mitochondrion	17873079	IDA: Inferred from Direct Assay
NCU04579.7	molecular_function	GO:0004160	dihydroxy-acid dehydratase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU04600.7	biological_process	GO:0000173	inactivation of MAPK activity involved in osmosensory signaling pathway	None	ISS: Inferred from Sequence or Structural Similarity
NCU04600.7	biological_process	GO:0006470	protein dephosphorylation	None	ISS: Inferred from Sequence or Structural Similarity
NCU04600.7	biological_process	GO:0006970	response to osmotic stress	None	ISS: Inferred from Sequence or Structural Similarity
NCU04600.7	cellular_component	GO:0005634	nucleus	None	ISS: Inferred from Sequence or Structural Similarity
NCU04600.7	cellular_component	GO:0005829	cytosol	None	ISS: Inferred from Sequence or Structural Similarity
NCU04600.7	molecular_function	GO:0004722	protein serine/threonine phosphatase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU04605.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU04612.7	biological_process	GO:0000768	syncytium formation by plasma membrane fusion	21666072	IMP: Inferred from Mutant Phenotype
NCU04612.7	biological_process	GO:0000909	sporocarp development involved in sexual reproduction	21965514	IMP: Inferred from Mutant Phenotype
NCU04612.7	biological_process	GO:0030437	ascospore formation	21965514	IMP: Inferred from Mutant Phenotype
NCU04612.7	biological_process	GO:0030448	hyphal growth	18562669	IMP: Inferred from Mutant Phenotype
NCU04612.7	biological_process	GO:0048315	conidium formation	21965514	IMP: Inferred from Mutant Phenotype
NCU04612.7	biological_process	GO:0070787	conidiophore development	21965514	IMP: Inferred from Mutant Phenotype
NCU04617.7	biological_process	GO:0031054	pre-microRNA processing	22516970	IMP: Inferred from Mutant Phenotype
NCU04635.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU04636.7	biological_process	GO:0006879	cellular iron ion homeostasis	None	ISS: Inferred from Sequence or Structural Similarity
NCU04636.7	biological_process	GO:0016226	iron-sulfur cluster assembly	None	ISS: Inferred from Sequence or Structural Similarity
NCU04636.7	cellular_component	GO:0005634	nucleus	None	ISS: Inferred from Sequence or Structural Similarity
NCU04636.7	cellular_component	GO:0005739	mitochondrion	None	ISS: Inferred from Sequence or Structural Similarity
NCU04636.7	cellular_component	GO:0005739	mitochondrion	21145408	IDA: Inferred from Direct Assay
NCU04636.7	molecular_function	GO:0016227	tRNA sulfurtransferase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU04636.7	molecular_function	GO:0031071	cysteine desulfurase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU04637.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU04648.7	biological_process	GO:0009435	NAD biosynthetic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU04648.7	cellular_component	GO:0005634	nucleus	None	ISS: Inferred from Sequence or Structural Similarity
NCU04648.7	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
NCU04648.7	molecular_function	GO:0003952	NAD+ synthase (glutamine-hydrolyzing) activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU04648.7	molecular_function	GO:0016811	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	None	ISS: Inferred from Sequence or Structural Similarity
NCU04667.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU04674.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU04675.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU04676.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU04697.7	molecular_function	GO:0030196	cyanide hydratase activity	18587571	IDA: Inferred from Direct Assay
NCU04699.7	biological_process	GO:0006656	phosphatidylcholine biosynthetic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU04699.7	cellular_component	GO:0005739	mitochondrion	None	ISS: Inferred from Sequence or Structural Similarity
NCU04699.7	cellular_component	GO:0005783	endoplasmic reticulum	None	ISS: Inferred from Sequence or Structural Similarity
NCU04699.7	molecular_function	GO:0000773	phosphatidyl-N-methylethanolamine N-methyltransferase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU04720.7	biological_process	GO:0042128	nitrate assimilation	8798648	TAS: Traceable Author Statement
NCU04720.7	molecular_function	GO:0008942	nitrite reductase [NAD(P)H] activity	8798648	IDA: Inferred from Direct Assay
NCU04727.7	biological_process	GO:0006043	glucosamine catabolic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU04727.7	biological_process	GO:0006091	generation of precursor metabolites and energy	None	ISS: Inferred from Sequence or Structural Similarity
NCU04727.7	cellular_component	GO:0005634	nucleus	None	ISS: Inferred from Sequence or Structural Similarity
NCU04727.7	cellular_component	GO:0005794	Golgi apparatus	None	ISS: Inferred from Sequence or Structural Similarity
NCU04727.7	molecular_function	GO:0004342	glucosamine-6-phosphate deaminase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU04730.7	biological_process	GO:0006974	response to DNA damage stimulus	19444217	IEP: Inferred from Expression Pattern
NCU04730.7	biological_process	GO:0016441	posttranscriptional gene silencing	9294193	IMP: Inferred from Mutant Phenotype
NCU04730.7	biological_process	GO:0033168	conversion of ds siRNA to ss siRNA involved in RNA interference	17311884	IMP: Inferred from Mutant Phenotype
NCU04730.7	biological_process	GO:0043331	response to dsRNA	17371837	IEP: Inferred from Expression Pattern
NCU04730.7	cellular_component	GO:0016442	RNA-induced silencing complex	11937487	IPI: Inferred from Physical Interaction
NCU04730.7	molecular_function	GO:0035197	siRNA binding	19444217	IPI: Inferred from Physical Interaction
NCU04731.7	biological_process	GO:0070787	conidiophore development	16801547	IMP: Inferred from Mutant Phenotype
NCU04731.7	biological_process	GO:0070873	regulation of glycogen metabolic process	21768394	IMP: Inferred from Mutant Phenotype
NCU04733.7	biological_process	GO:0000724	double-strand break repair via homologous recombination	15800214	IGI: Inferred from Genetic Interaction
NCU04733.7	cellular_component	GO:0005634	nucleus	15800214	ISS: Inferred from Sequence or Structural Similarity
NCU04733.7	molecular_function	GO:0003678	DNA helicase activity	15800214	ISS: Inferred from Sequence or Structural Similarity
NCU04736.7	biological_process	GO:0006816	calcium ion transport	21335528	IMP: Inferred from Mutant Phenotype
NCU04736.7	biological_process	GO:0006874	cellular calcium ion homeostasis	21335528	IMP: Inferred from Mutant Phenotype
NCU04736.7	biological_process	GO:0032026	response to magnesium ion	22408225	IMP: Inferred from Mutant Phenotype
NCU04736.7	biological_process	GO:0048315	conidium formation	21335528	IMP: Inferred from Mutant Phenotype
NCU04736.7	biological_process	GO:0051592	response to calcium ion	21335528	IMP: Inferred from Mutant Phenotype
NCU04736.7	biological_process	GO:0060075	regulation of resting membrane potential	22408225	IMP: Inferred from Mutant Phenotype
NCU04736.7	biological_process	GO:0070787	conidiophore development	21335528	IMP: Inferred from Mutant Phenotype
NCU04736.7	cellular_component	GO:0005773	vacuole	19801418	IEP: Inferred from Expression Pattern
NCU04736.7	cellular_component	GO:0005886	plasma membrane	19801418	IEP: Inferred from Expression Pattern
NCU04737.7	biological_process	GO:0006348	chromatin silencing at telomere	19014414	IMP: Inferred from Mutant Phenotype
NCU04737.7	biological_process	GO:0016575	histone deacetylation	19014414	IDA: Inferred from Direct Assay
NCU04737.7	molecular_function	GO:0017136	NAD-dependent histone deacetylase activity	19014414	IDA: Inferred from Direct Assay
NCU04747.7	biological_process	GO:0000909	sporocarp development involved in sexual reproduction	21965514	IMP: Inferred from Mutant Phenotype
NCU04747.7	biological_process	GO:0030437	ascospore formation	21965514	IMP: Inferred from Mutant Phenotype
NCU04747.7	biological_process	GO:0030448	hyphal growth	21965514	IMP: Inferred from Mutant Phenotype
NCU04747.7	biological_process	GO:0048315	conidium formation	21965514	IMP: Inferred from Mutant Phenotype
NCU04747.7	biological_process	GO:0070787	conidiophore development	21965514	IMP: Inferred from Mutant Phenotype
NCU04753.7	biological_process	GO:0006116	NADH oxidation	15863099	IC: Inferred by Curator
NCU04753.7	cellular_component	GO:0005739	mitochondrion	15863099	IC: Inferred by Curator
NCU04753.7	cellular_component	GO:0005747	mitochondrial respiratory chain complex I	15863099	IC: Inferred by Curator
NCU04753.7	molecular_function	GO:0009055	electron carrier activity	15863099	IC: Inferred by Curator
NCU04754.7	biological_process	GO:0009082	branched chain family amino acid biosynthetic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU04754.7	biological_process	GO:0009083	branched chain family amino acid catabolic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU04754.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU04754.7	cellular_component	GO:0005634	nucleus	None	ISS: Inferred from Sequence or Structural Similarity
NCU04754.7	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
NCU04754.7	cellular_component	GO:0005739	mitochondrion	21145408	IDA: Inferred from Direct Assay
NCU04754.7	molecular_function	GO:0004084	branched-chain-amino-acid transaminase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU04759.7	biological_process	GO:0006606	protein import into nucleus	None	ISS: Inferred from Sequence or Structural Similarity
NCU04759.7	biological_process	GO:0006913	nucleocytoplasmic transport	None	ISS: Inferred from Sequence or Structural Similarity
NCU04759.7	cellular_component	GO:0005635	nuclear envelope	None	ISS: Inferred from Sequence or Structural Similarity
NCU04759.7	molecular_function	GO:0008536	Ran GTPase binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU04768.7	biological_process	GO:0006116	NADH oxidation	None	ISS: Inferred from Sequence or Structural Similarity
NCU04768.7	cellular_component	GO:0005739	mitochondrion	None	ISS: Inferred from Sequence or Structural Similarity
NCU04768.7	cellular_component	GO:0005739	mitochondrion	21145408	IDA: Inferred from Direct Assay
NCU04770.7	biological_process	GO:0006360	transcription from RNA polymerase I promoter	None	ISS: Inferred from Sequence or Structural Similarity
NCU04770.7	biological_process	GO:0006366	transcription from RNA polymerase II promoter	None	ISS: Inferred from Sequence or Structural Similarity
NCU04770.7	biological_process	GO:0006367	transcription initiation from RNA polymerase II promoter	None	ISS: Inferred from Sequence or Structural Similarity
NCU04770.7	biological_process	GO:0006383	transcription from RNA polymerase III promoter	None	ISS: Inferred from Sequence or Structural Similarity
NCU04770.7	biological_process	GO:0006384	transcription initiation from RNA polymerase III promoter	None	ISS: Inferred from Sequence or Structural Similarity
NCU04770.7	cellular_component	GO:0000120	RNA polymerase I transcription factor complex	None	ISS: Inferred from Sequence or Structural Similarity
NCU04770.7	cellular_component	GO:0000126	transcription factor TFIIIB complex	None	ISS: Inferred from Sequence or Structural Similarity
NCU04770.7	cellular_component	GO:0005634	nucleus	None	ISS: Inferred from Sequence or Structural Similarity
NCU04770.7	cellular_component	GO:0005669	transcription factor TFIID complex	None	ISS: Inferred from Sequence or Structural Similarity
NCU04770.7	molecular_function	GO:0003677	DNA binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU04770.7	molecular_function	GO:0003701	RNA polymerase I transcription factor activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU04770.7	molecular_function	GO:0003709	RNA polymerase III transcription factor activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU04770.7	molecular_function	GO:0008301	DNA bending activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU04770.7	molecular_function	GO:0016251	general RNA polymerase II transcription factor activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU04770.7	molecular_function	GO:0042803	protein homodimerization activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU04779.7	biological_process	GO:0006412	translation	None	ISS: Inferred from Sequence or Structural Similarity
NCU04779.7	cellular_component	GO:0022625	cytosolic large ribosomal subunit	None	ISS: Inferred from Sequence or Structural Similarity
NCU04779.7	molecular_function	GO:0003735	structural constituent of ribosome	None	ISS: Inferred from Sequence or Structural Similarity
NCU04780.7	biological_process	GO:0002098	tRNA wobble uridine modification	None	ISS: Inferred from Sequence or Structural Similarity
NCU04780.7	biological_process	GO:0032447	protein urmylation	None	ISS: Inferred from Sequence or Structural Similarity
NCU04780.7	biological_process	GO:0034227	tRNA thio-modification	None	ISS: Inferred from Sequence or Structural Similarity
NCU04780.7	cellular_component	GO:0005739	mitochondrion	None	ISS: Inferred from Sequence or Structural Similarity
NCU04781.7	biological_process	GO:0012501	programmed cell death	20435699	IMP: Inferred from Mutant Phenotype
NCU04781.7	biological_process	GO:0032981	mitochondrial respiratory chain complex I assembly	12758076	IMP: Inferred from Mutant Phenotype
NCU04781.7	molecular_function	GO:0008137	NADH dehydrogenase (ubiquinone) activity	12758076	IMP: Inferred from Mutant Phenotype
NCU04796.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU04796.7	cellular_component	GO:0009514	glyoxysome	20707002	IDA: Inferred from Direct Assay
NCU04797.7	biological_process	GO:0006094	gluconeogenesis	None	ISS: Inferred from Sequence or Structural Similarity
NCU04797.7	biological_process	GO:0006800	oxygen and reactive oxygen species metabolic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU04797.7	biological_process	GO:0006970	response to osmotic stress	16990038	IEP: Inferred from Expression Pattern
NCU04797.7	biological_process	GO:0009408	response to heat	16990038	IEP: Inferred from Expression Pattern
NCU04797.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU04797.7	biological_process	GO:0042538	hyperosmotic salinity response	16990038	IEP: Inferred from Expression Pattern
NCU04797.7	cellular_component	GO:0005829	cytosol	None	ISS: Inferred from Sequence or Structural Similarity
NCU04797.7	molecular_function	GO:0042132	fructose 1,6-bisphosphate 1-phosphatase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU04799.7	biological_process	GO:0006446	regulation of translational initiation	None	ISS: Inferred from Sequence or Structural Similarity
NCU04799.7	cellular_component	GO:0005634	nucleus	None	ISS: Inferred from Sequence or Structural Similarity
NCU04799.7	cellular_component	GO:0005737	cytoplasm	None	ISS: Inferred from Sequence or Structural Similarity
NCU04799.7	cellular_component	GO:0005840	ribosome	None	ISS: Inferred from Sequence or Structural Similarity
NCU04799.7	molecular_function	GO:0008143	poly(A) RNA binding	None	ISS: Inferred from Sequence or Structural Similarity
NCU04800.7	biological_process	GO:0010034	response to acetate	14599890	IEP: Inferred from Expression Pattern
NCU04801.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU04801.7	biological_process	GO:0030639	polyketide biosynthetic process	17374612	IDA: Inferred from Direct Assay
NCU04801.7	cellular_component	GO:0034083	type III polyketide synthase complex	18940668	TAS: Traceable Author Statement
NCU04801.7	molecular_function	GO:0016218	polyketide synthase activity	18940668	IDA: Inferred from Direct Assay
NCU04802.7	biological_process	GO:0043331	response to dsRNA	17371837	IEP: Inferred from Expression Pattern
NCU04803.7	cellular_component	GO:0009514	glyoxysome	20707002	IDA: Inferred from Direct Assay
NCU04814.7	biological_process	GO:0007005	mitochondrion organization	None	ISS: Inferred from Sequence or Structural Similarity
NCU04814.7	biological_process	GO:0009416	response to light stimulus	19262566	IEP: Inferred from Expression Pattern
NCU04814.7	biological_process	GO:0030026	cellular manganese ion homeostasis	None	ISS: Inferred from Sequence or Structural Similarity
NCU04815.7	biological_process	GO:0006749	glutathione metabolic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU04815.7	biological_process	GO:0019243	methylglyoxal catabolic process to D-lactate	None	ISS: Inferred from Sequence or Structural Similarity
